template,asset,phase,phase_start,phase_end,candle_count,return_percent,max_drawdown_percent,trade_count,first_iso,last_iso,insufficient_data
ma_pullback,PAXG,validate,2024-01-01,2024-12-31,8784,3.7682,3.4976,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
ma_pullback,PAXG,forward,2025-01-01,2026-05-06,11770,12.3827,7.03,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
risk_guard,BTC,train,2020-01-01,2023-12-31,23246,0.0,0.0,0,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
risk_guard,BTC,validate,2024-01-01,2024-12-31,8784,0.0,0.0,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
risk_guard,BTC,forward,2025-01-01,2026-05-06,11770,0.0,0.0,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
risk_guard,ETH,train,2020-01-01,2023-12-31,23246,0.0,0.0,0,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
risk_guard,ETH,validate,2024-01-01,2024-12-31,8784,0.0,0.0,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
risk_guard,ETH,forward,2025-01-01,2026-05-06,11770,0.0,0.0,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
risk_guard,XRP,train,2020-01-01,2023-12-31,23246,0.0,0.0,0,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
risk_guard,XRP,validate,2024-01-01,2024-12-31,8784,0.0,0.0,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
risk_guard,XRP,forward,2025-01-01,2026-05-06,11770,0.0,0.0,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
risk_guard,BNB,train,2020-01-01,2023-12-31,23246,0.0,0.0,0,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
risk_guard,BNB,validate,2024-01-01,2024-12-31,8784,0.0,0.0,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
risk_guard,BNB,forward,2025-01-01,2026-05-06,11770,0.0,0.0,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
risk_guard,PAXG,train,2020-01-01,2023-12-31,23246,0.0,0.0,0,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
risk_guard,PAXG,validate,2024-01-01,2024-12-31,8784,0.0,0.0,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
risk_guard,PAXG,forward,2025-01-01,2026-05-06,11770,0.0,0.0,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
rsi_scale,BTC,train,2020-01-01,2023-12-31,23246,-2.44,4.9703,2,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
rsi_scale,BTC,validate,2024-01-01,2024-12-31,8784,4.8372,2.1862,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
rsi_scale,BTC,forward,2025-01-01,2026-05-06,11770,-1.1448,5.536,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
rsi_scale,ETH,train,2020-01-01,2023-12-31,23246,-3.247,5.6932,2,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
rsi_scale,ETH,validate,2024-01-01,2024-12-31,8784,1.4746,2.62,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
rsi_scale,ETH,forward,2025-01-01,2026-05-06,11770,-1.3631,4.2555,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
rsi_scale,XRP,train,2020-01-01,2023-12-31,23246,-2.833,4.817,2,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
rsi_scale,XRP,validate,2024-01-01,2024-12-31,8784,5.1395,2.9817,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
rsi_scale,XRP,forward,2025-01-01,2026-05-06,11770,-2.2337,7.8852,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
rsi_scale,BNB,train,2020-01-01,2023-12-31,23246,-5.013,7.2401,2,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
rsi_scale,BNB,validate,2024-01-01,2024-12-31,8784,3.2471,2.4849,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
rsi_scale,BNB,forward,2025-01-01,2026-05-06,11770,-0.5308,6.1193,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
rsi_scale,PAXG,train,2020-01-01,2023-12-31,23246,0.715,1.2388,2,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
rsi_scale,PAXG,validate,2024-01-01,2024-12-31,8784,1.6302,1.5564,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
rsi_scale,PAXG,forward,2025-01-01,2026-05-06,11770,5.4695,3.3923,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
staged_profit_taking,BTC,train,2020-01-01,2023-12-31,23246,0.0,0.0,0,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
staged_profit_taking,BTC,validate,2024-01-01,2024-12-31,8784,0.0,0.0,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
staged_profit_taking,BTC,forward,2025-01-01,2026-05-06,11770,0.0,0.0,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
staged_profit_taking,ETH,train,2020-01-01,2023-12-31,23246,0.0,0.0,0,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
staged_profit_taking,ETH,validate,2024-01-01,2024-12-31,8784,0.0,0.0,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
staged_profit_taking,ETH,forward,2025-01-01,2026-05-06,11770,0.0,0.0,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
staged_profit_taking,XRP,train,2020-01-01,2023-12-31,23246,0.0,0.0,0,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
staged_profit_taking,XRP,validate,2024-01-01,2024-12-31,8784,0.0,0.0,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
staged_profit_taking,XRP,forward,2025-01-01,2026-05-06,11770,0.0,0.0,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
staged_profit_taking,BNB,train,2020-01-01,2023-12-31,23246,0.0,0.0,0,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
staged_profit_taking,BNB,validate,2024-01-01,2024-12-31,8784,0.0,0.0,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
staged_profit_taking,BNB,forward,2025-01-01,2026-05-06,11770,0.0,0.0,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
staged_profit_taking,PAXG,train,2020-01-01,2023-12-31,23246,0.0,0.0,0,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
